
2026-04-06 06:05:39,6,4,0,1,1
2026-04-06 06:12:10,6,4,0,1,1
2026-04-07 06:02:56,6,4,0,1,1
2026-04-13 07:28:00,6,4,0,1,1
2026-04-19 06:18:38,6,4,0,1,1
2026-04-25 06:07:23,6,4,0,1,1
2026-05-01 07:53:50,6,4,0,1,1
2026-05-07 09:45:26,6,4,0,1,1
2026-05-13 03:50:21,6,4,0,1,1
2026-05-13 09:48:30,8,6,0,1,1
2026-05-13 09:55:04,8,6,0,1,1
2026-05-13 10:02:21,8,0,6,1,1
2026-05-13 10:25:05,8,6,0,1,1
2026-05-13 10:33:56,8,4,2,0,2
2026-05-19 03:59:51,8,6,0,0,2
2026-05-25 04:15:18,8,6,0,0,2
2026-05-31 04:16:37,8,6,0,0,2
2026-06-01 04:44:40,8,6,0,0,2
2026-06-07 04:21:13,8,6,0,0,2
2026-06-13 04:13:11,8,6,0,0,2
2026-06-19 04:51:47,8,6,0,0,2
2026-06-25 04:00:03,8,6,0,0,2
2026-07-01 04:17:55,8,4,2,0,2
2026-07-07 03:50:30,8,4,2,0,2
